Rasd2
Gm30373
Oacyl
D930020B18Rik
Gm4791
Ccer2
Dlk2
Atp2b3
4933440M02Rik
Sgpp2
Edaradd
Dlgap2
Kcnh6
Sting1
Rph3a
Jag2
Gm26953
Scn11a
Kcna4
Tmem120b
Anxa4
Gm14266
4831440D22Rik
Gad2
Trpm2
Asic4
Miat
Cib2
Thsd7b
Gm20687
Calb2
Pkhd1l1
Gm19299
Slc44a5
Gm2694
Gm30094
Obscn
Fbxl13
Gm20757
Gm6999
Mdga1
Fam78b
Mslnl
Mogat1
Ccdc146
Tcerg1l
Kirrel3os
Mgat5b
Rbm24
Slc8a1
Ush2a
Cyp11a1
Zfhx2os
Prph2
Xylt1
Ptpn22
Srrm4
Sema7a
P2rx3
Slc52a3
Neurl1b
Tmem255b
C230072F16Rik
Begain
Rtn4rl2
Pax2
Lmo1
Casz1
Barhl1
Grxcr1
Kcnab2
Rnf182
Syt13
Cdh23
Serpine3
Mfng
Fcho1
Nhlh1
Gm13373
Gm50277
Gm35721
Dscaml1
Chd5
Tjap1
Ttc21a
Ankrd24
Atp8a2
Mast1
1700028P14Rik
9830166K06Rik
Otof
Cfap69
Hydin
Syt17
Cfap52
Adgrg3
Dlgap3
Gm32736
Dixdc1
Cap2
Igsf21
Tctex1d1
Adamts19
Lhfpl5
Snap25
Myo3a
Gm30593
Gm43948
6530403H02Rik
Mapk15
Stk33
Brinp3
Tmem108
Hecw1
Sec16b
Rfx2
Cfap61
Mindy4b-ps
4930588A03Rik
Clec18a
Brip1
Adgrb2
Dgkg
Hs3st3b1
Cfap45
Stk36
Kif9
Mreg
Fstl4
Gm43950
Enkur
Hpcal1
Srrm3
Dera
Ccdc40
Zfp667
Tnc
Ttll9
Myo7a
Dlec1
Cep152
Zpld1
Mlf1
Dnaaf3
Grid2ip
Cdh4
Pak7
Cfap77
4930452B06Rik
Wdr63
Fmn1
Ggta1
Nek10
Dnaic1
Celsr3
Unc80
Dnah1
Cacna1b
Cfap65
Neurl1a
Wdr78
Gpr4
Nrxn3
Dnah9
Nek11
Unc79
Spef2
Mgst3
Lnx2
Ak9
Plekha6
Raver2
Myo15
Adcy8
Myo6
Trim62
Gm14280
Dtna
Slc8a2
Iqcg
Sh2d4b
P2rx6
Ppil6
Gm31333
Ccp110
Galnt9
Ccdc39
Cfap54
Iqcd
Dcdc5
Abcc1
Fsip1
Cacna1a
Cfap44
Spata17
Dnah7c
Ccdc114
Kif28
Ttc29
Dgkh
Vwa3b
1110017D15Rik
Myo3b
Rab15
Cfap99
Sec14l5
Adcy1
Runx1t1
Pacsin1
Iqub
Myl3
Grk1
Ptprn2
Cfap53
Astn1
Ak8
Cxcl14
Cx3cr1
Kif27
Kcnd3
8030451A03Rik
Drc1
Bbof1
Lrriq1
Ulk4
Ptbp1
Tpm1
5330413P13Rik
Cfap47
Wdr27
Efhb
Tmem200a
8030455M16Rik
Daw1
Mob3b
Agbl4
Ormdl3
Lhx3
Cdc25b
Zfand4
2010007H06Rik
Mak
Cdkl4
Cfap70
Espn
Lrguk
Cfap43
Fgd3
Drc7
Kcnh7
Lca5l
Pcdh15
Cdk15
Tekt2
Frmd5
Pdzd7
Carmil3
Dpysl4
Lrrc43
Armc3
Drc3
Syt16
Dnah2
Slc17a8
Lmod1
Tmc1
Cdkl2
Cabp2
Armc4
Camk2n1
C530008M17Rik
Ccdc60
Ntng2
Adgrv1
Trim17
Dnah5
Ttc25
Gm31227
Efcab6
Pitpnm2
Prrt3
Tmcc2
Pole
Pnpla3
Gm28539
Srrm4os
Nectin1
Sh3yl1
Tekt1
Mtarc2
Cfap206
Card10
Nme5
Ptpru
Zfp474
Slc27a2
Gm12709
Ccdc93
4930578M01Rik
Ctnnd2
Bbs5
Plekhh2
Eno4
Elmod1
Kif6
Fam166c
Triobp
Mylk4
Gm18978
Pacrg
Loxhd1
Ccdc30
Pcbp3
Morn1
Eml1
Clrn1
Rsph4a
Zbbx
Gpr156
Chrna10
Arhgef33
Fank1
Saxo2
B4galt5
Tmprss3
F730043M19Rik
Maats1
Atp10d
Armc2
Ercc6
Myo1h
Ubxn11
Adgb
Dnaic2
Spats2
Gcnt1
Slc43a1
Tex9
Tox
Lrp8
Spag16
Grip1
Ccdc81
4930567H12Rik
Galnt14
Gm16263
Stk11ip
Fam57b
Aknad1
Gm27008
Nphp4
Gm28403
Gm4131
Syt14
Palm3
Clstn3
Ttc24
Lrrc6
Dnah6
Ttc34
Mecr
Kcnh8
Art1
Hip1r
Spag6l
Iqca
Tmem178b
Lct
Adgrg1
Intu
4430402I18Rik
Aacs
Map9
Cep126
Chka
Dach1
Gpr158
Zfp697
Dytn
Gm13830
Ano4
Pcnx4
Myt1
Marchf3
Gm49542
Skor1
Acbd7
Syt7
Ankrd42
Efcab1
Pip4k2a
Cyb5r1
Myo16
Tanc1
Rsph10b
Fam149a
Zkscan2
Rimbp2
Casc1
Ccdc9b
Trim37
Sema3e
Glis1
Smpx
4930470H14Rik
Tmem70
Stk32a
Gas7
Ripor2
Pcsk6
Ralyl
Catspere2
Gm39323
Chia1
Col25a1
Pign
Prmt3
Katnal2
Pde11a
Shtn1
Coro2a
Mbd4
Gm49936
Dlg2
Gm42722
Tmem184a
Ica1l
Dalrd3
Spsb4
Actr3b
Slc39a14
Ankfn1
Ap3b2
4933412E12Rik
Gm14461
Camta1
Zc3h12c
Sox1ot
Samm50
Wdr60
